timestamp,clase,confianza,x1,y1,x2,y2
2025-11-29 17:17:19,teclado,0.72,1,149,310,639
2025-11-29 17:17:19,teclado,0.72,1,149,310,639
2025-11-29 17:17:20,teclado,0.72,1,149,310,639
2025-11-29 17:17:21,teclado,0.72,1,149,310,639
2025-11-29 17:17:22,teclado,0.72,1,149,310,639
2025-11-29 17:17:23,teclado,0.72,1,149,310,639
2025-11-29 17:17:24,teclado,0.72,1,149,310,639
2025-11-29 17:17:24,teclado,0.72,1,149,310,639
2025-11-29 17:17:25,teclado,0.72,1,149,310,639
2025-11-29 17:17:26,teclado,0.72,1,149,310,639
2025-11-29 17:17:26,teclado,0.72,1,149,310,639
2025-11-29 17:17:27,teclado,0.72,1,149,310,639
2025-11-29 17:17:28,teclado,0.72,1,149,310,639
2025-11-29 17:17:29,teclado,0.72,1,149,310,639
2025-11-29 17:17:29,teclado,0.72,1,149,310,639
2025-11-29 17:17:30,teclado,0.72,1,149,310,639
2025-11-29 17:17:31,teclado,0.72,1,149,310,639
2025-11-29 17:17:32,teclado,0.72,1,149,310,639
2025-11-29 17:17:33,teclado,0.72,1,149,310,639
2025-11-29 17:17:33,teclado,0.72,1,149,310,639
2025-11-29 17:17:34,teclado,0.72,1,149,310,639
2025-11-29 17:17:35,teclado,0.72,1,149,310,639
2025-11-29 17:17:36,teclado,0.72,1,149,310,639
2025-11-29 17:17:36,teclado,0.72,1,149,310,639
2025-11-29 17:19:17,desktop computer,CPU,0.05,253,1,480,282
2025-11-29 17:19:18,desktop computer,CPU,0.05,253,1,480,282
2025-11-29 17:19:19,desktop computer,CPU,0.05,250,0,480,279
2025-11-29 17:19:20,desktop computer,CPU,0.05,250,0,480,279
2025-11-29 17:19:21,desktop computer,CPU,0.05,250,0,480,279
2025-11-29 17:19:22,desktop computer,CPU,0.05,244,1,480,277
2025-11-29 17:19:22,desktop computer,CPU,0.05,241,1,480,278
2025-11-29 17:19:23,desktop computer,CPU,0.05,241,1,480,278
2025-11-29 17:19:24,desktop computer,CPU,0.05,241,1,480,278
2025-11-29 17:19:25,desktop computer,CPU,0.05,239,1,480,274
2025-11-29 17:19:26,desktop computer,CPU,0.05,231,1,480,269
2025-11-29 17:19:26,desktop computer,CPU,0.05,231,1,480,269
2025-11-29 17:19:27,desktop computer,CPU,0.05,226,0,480,276
2025-11-29 17:19:28,desktop computer,CPU,0.05,226,0,480,276
2025-11-29 17:19:29,desktop computer,CPU,0.05,226,0,480,276
2025-11-29 17:19:29,desktop computer,CPU,0.05,226,0,480,276
2025-11-29 17:19:30,desktop computer,CPU,0.05,225,0,480,281
2025-11-29 17:19:31,desktop computer,CPU,0.05,225,0,480,281
2025-11-29 17:19:32,desktop computer,CPU,0.05,225,0,480,281
2025-11-29 17:19:33,desktop computer,CPU,0.05,226,0,480,283
2025-11-29 17:19:34,desktop computer,CPU,0.05,226,0,480,283
2025-11-29 17:19:34,desktop computer,CPU,0.05,225,0,480,280
2025-11-29 17:19:35,desktop computer,CPU,0.05,225,0,480,280
2025-11-29 17:19:36,desktop computer,CPU,0.05,225,0,480,280
2025-11-29 17:19:37,desktop computer,CPU,0.05,201,0,480,277
2025-11-29 17:19:38,desktop computer,CPU,0.05,201,0,480,277
2025-11-29 17:19:38,desktop computer,CPU,0.05,186,0,480,283
2025-11-29 17:19:39,desktop computer,CPU,0.05,186,0,480,283
2025-11-29 17:19:40,desktop computer,CPU,0.05,153,1,480,308
2025-11-29 17:19:41,desktop computer,CPU,0.05,129,1,480,324
2025-11-29 17:19:42,desktop computer,CPU,0.05,110,1,480,330
2025-11-29 17:19:43,desktop computer,CPU,0.05,110,1,480,330
2025-11-29 17:19:44,desktop computer,CPU,0.05,110,1,480,330
2025-11-29 17:19:45,desktop computer,CPU,0.05,53,2,480,333
2025-11-29 17:19:45,keyboard,teclado,0.05,3,601,469,639
2025-11-29 17:19:46,desktop computer,CPU,0.05,32,0,478,337
2025-11-29 17:19:46,toilet paper,papel higiénico,0.06,1,314,155,522
2025-11-29 17:19:46,keyboard,teclado,0.05,0,608,472,639
2025-11-29 17:19:47,desktop computer,CPU,0.05,32,0,478,337
2025-11-29 17:19:47,toilet paper,papel higiénico,0.06,1,314,155,522
2025-11-29 17:19:47,keyboard,teclado,0.05,0,608,472,639
2025-11-29 17:19:48,desktop computer,CPU,0.05,0,1,480,334
2025-11-29 17:19:48,toilet paper,papel higiénico,0.05,251,102,415,270
2025-11-29 17:19:49,desktop computer,CPU,0.05,0,1,480,334
2025-11-29 17:19:49,toilet paper,papel higiénico,0.05,251,102,415,270
2025-11-29 17:19:50,desktop computer,CPU,0.05,0,1,480,334
2025-11-29 17:19:50,toilet paper,papel higiénico,0.05,251,102,415,270
2025-11-29 17:19:50,desktop computer,CPU,0.05,0,1,480,334
2025-11-29 17:19:50,toilet paper,papel higiénico,0.05,251,102,415,270
2025-11-29 17:19:51,desktop computer,CPU,0.05,1,1,480,343
2025-11-29 17:19:51,scissors,tijera,0.05,3,334,478,621
2025-11-29 17:19:52,laptop,laptop,0.05,0,1,480,349
2025-11-29 17:19:52,scissors,tijera,0.05,3,348,479,630
2025-11-29 17:19:53,laptop,laptop,0.05,0,1,480,349
